date,Open,High,Low,Close,Volume,symbol
2025-02-03,111.87000274658203,115.79000091552734,110.55000305175781,114.38999938964844,8572400,SHOP
2025-02-04,116.30000305175781,120.4800033569336,116.12999725341797,119.19999694824219,7362300,SHOP
2025-02-05,119.2699966430664,121.91000366210938,118.55000305175781,121.7300033569336,6058900,SHOP
2025-02-06,122.01000213623047,122.80999755859375,116.87000274658203,118.58000183105469,7207100,SHOP
2025-02-07,118.11000061035156,119.66000366210938,116.5199966430664,117.41000366210938,5835800,SHOP
2025-02-10,121.45999908447266,123.41000366210938,119.13999938964844,119.9000015258789,13060700,SHOP
2025-02-11,122.27999877929688,125.94999694824219,114.69999694824219,123.58999633789062,34842700,SHOP
2025-02-12,119.05000305175781,122.48999786376953,116.69999694824219,120.48999786376953,13307400,SHOP
2025-02-13,121.0,128.0,120.0999984741211,127.6500015258789,10940300,SHOP
2025-02-14,125.76000213623047,128.57000732421875,123.87999725341797,128.35000610351562,8511300,SHOP
2025-02-18,129.0800018310547,129.3800048828125,124.19000244140625,129.30999755859375,7251900,SHOP
2025-02-19,129.0500030517578,129.0500030517578,124.4000015258789,127.66000366210938,7766900,SHOP
2025-02-20,126.9000015258789,126.94999694824219,120.80000305175781,123.47000122070312,8855900,SHOP
2025-02-21,125.19999694824219,125.5,115.30000305175781,115.55999755859375,10064100,SHOP
2025-02-24,115.55999755859375,117.02999877929688,109.80999755859375,115.4800033569336,8545000,SHOP
2025-02-25,113.29000091552734,115.0,107.0,110.94999694824219,9977700,SHOP
2025-02-26,111.87999725341797,114.80000305175781,110.83999633789062,113.2300033569336,4905900,SHOP
2025-02-27,114.8499984741211,115.58999633789062,110.1500015258789,110.83000183105469,5790100,SHOP
2025-02-28,109.0,112.08999633789062,107.58000183105469,112.0,6271700,SHOP
2025-03-03,112.88999938964844,115.20899963378906,104.80999755859375,106.58000183105469,7795200,SHOP
2025-03-04,103.61000061035156,104.19300079345703,97.8499984741211,101.7300033569336,13995300,SHOP
2025-03-05,102.76000213623047,106.6500015258789,101.58999633789062,106.1500015258789,8409400,SHOP
