date,Open,High,Low,Close,Volume,symbol
2024-12-10,182.13667521959667,185.63297660419835,180.34369430470025,184.44761657714844,54813000,GOOGL
2024-12-11,184.58707675233347,194.84689801892716,184.1288797897164,194.63771057128906,67894100,GOOGL
2024-12-12,194.2392695844635,194.4185600761266,190.96211115966233,191.2111358642578,34817500,GOOGL
2024-12-13,190.2648278463795,191.97811901209872,188.90017734316862,189.07948303222656,25143500,GOOGL
2024-12-16,192.11756882122688,198.22365926952406,191.8685441236521,195.89279174804688,44934900,GOOGL
2024-12-17,196.48048589662955,200.6342160179093,194.21933739249496,194.65762329101562,43504000,GOOGL
2024-12-18,194.4584096820746,196.23146433679096,187.0075948858922,187.66500854492188,34166100,GOOGL
2024-12-19,190.88243605492835,192.27696842780173,187.64511464715667,187.77459716796875,32265200,GOOGL
2024-12-20,185.0552429190991,192.13750634222802,184.49742999563804,190.6632843017578,63462900,GOOGL
2024-12-23,191.86855908689105,194.33889522295496,189.40819366703502,193.8707275390625,25675000,GOOGL
2024-12-24,194.0798904284353,195.34494018554688,193.02402811118543,195.34494018554688,10403300,GOOGL
2024-12-26,194.38868793025316,195.98245219810025,193.62170274567876,194.83694458007812,12046600,GOOGL
2024-12-27,194.18945436832726,194.558021252894,189.906226569023,192.00799560546875,18891400,GOOGL
2024-12-30,189.05957268360805,191.79884463576994,188.3822175336386,190.49395751953125,14264700,GOOGL
2024-12-31,190.33457825065463,191.2111501400391,187.77459680063998,188.5615234375,17466900,GOOGL
2025-01-02,189.90623605246924,191.25097555403835,186.76853081449056,188.6909942626953,20370800,GOOGL
2025-01-03,190.62341890024783,192.45625220914977,189.23884220230838,191.04177856445312,18596200,GOOGL
2025-01-06,193.2232644718959,197.44672936937255,193.09378194764346,196.10198974609375,29563600,GOOGL
2025-01-07,196.3410311167276,200.2158547626208,193.84082865087865,194.72735595703125,26487200,GOOGL
2025-01-08,191.818768515616,195.52424236393108,191.62950729663424,193.19337463378906,24864800,GOOGL
2025-01-10,193.54199496025797,195.7533354559894,189.5675553775491,191.29080200195312,26665200,GOOGL
2025-01-13,189.32852659632545,190.43418179207845,186.62909187000687,190.2648468017578,21823700,GOOGL
2025-01-14,190.49392754683893,191.23103088318788,187.57535034976993,188.9200897216797,17174900,GOOGL
2025-01-15,192.33671488233958,195.59396223510123,191.1115176062456,194.78712463378906,21776000,GOOGL
2025-01-16,193.38262220625612,194.71739096273467,192.05780896613516,192.1574249267578,17815400,GOOGL
2025-01-17,195.76331327486383,196.46057945672584,192.99415958170988,195.23538208007812,27735100,GOOGL
2025-01-21,198.29339931939404,201.50082353528188,197.0980685764286,197.27737426757812,29971300,GOOGL
2025-01-22,198.28342571973468,199.6978841991253,196.75939576380796,197.5961151123047,26200600,GOOGL
2025-01-23,197.36703633289733,199.51861361447575,194.4385031217372,197.20765686035156,26951400,GOOGL
2025-01-24,197.32718592161126,200.11625050908367,197.22756995808922,199.428955078125,23877500,GOOGL
2025-01-27,191.65940250991744,196.11196602986334,189.9859483712381,191.06173706054688,41728900,GOOGL
2025-01-28,191.99806124313736,194.71740695981467,189.9361292430902,194.53811645507812,24157900,GOOGL
2025-01-29,194.7970833042233,196.0222806001553,192.6753879484473,194.64767456054688,18218300,GOOGL
2025-01-30,197.22758104242592,200.61431120284323,196.89886658344366,200.0863800048828,24354700,GOOGL
2025-01-31,201.21196665384008,204.6783863780237,201.0127499247283,203.22409057617188,32001100,GOOGL
2025-02-03,199.90707487204236,202.9551348332388,199.31938021531738,200.44496154785156,27838300,GOOGL
2025-02-04,202.59653399897414,206.2422592489475,202.0187948719897,205.5748748779297,43856400,GOOGL
2025-02-05,190.32462266498615,191.99806150855852,187.29647352052726,190.58360290527344,70373900,GOOGL
2025-02-06,188.76074056252688,191.35060376868358,187.98378464053243,190.85255432128906,29297400,GOOGL
2025-02-07,190.30467405380017,190.43415655908677,182.52514505087987,184.616943359375,49315000,GOOGL
2025-02-10,186.61912556239702,187.46580046504565,185.13493280467802,185.7425537109375,23105600,GOOGL
2025-02-11,184.3081687207876,186.21072116923287,183.56109458441756,184.5970458984375,21239500,GOOGL
2025-02-12,182.5052293386179,184.38785552440282,181.12065256917043,182.89370727539062,22072600,GOOGL
2025-02-13,183.6009416706382,185.5532868448968,182.42553716023775,185.41383361816406,21402500,GOOGL
2025-02-14,184.33806551853942,185.67283443666003,183.6009620380095,184.5074005126953,20448400,GOOGL
2025-02-18,184.87596341155862,185.23455962642282,181.0310210185614,183.0531005859375,29916700,GOOGL
2025-02-19,183.35192561125757,184.73650242741212,182.8737872119756,184.5472412109375,19549400,GOOGL
2025-02-20,184.07906552714084,184.587070455128,182.00717815142445,183.83999633789062,20441500,GOOGL
2025-02-21,184.42767889722575,184.61694009305896,178.38136734197036,178.9591064453125,35199200,GOOGL
2025-02-24,181.28003655625,182.40561792977684,178.19212401815724,178.55072021484375,29854200,GOOGL
2025-02-25,177.34541534936753,178.0426966360842,174.0084936453782,174.7356414794922,41913400,GOOGL
2025-02-26,174.38701976901885,175.39307405965482,170.9106295738481,172.05613708496094,35431300,GOOGL
2025-02-27,173.31123936714644,173.87900779159736,167.28483845921406,167.8426513671875,39991000,GOOGL
2025-02-28,168.02194319125016,169.94442183496423,166.11940597917265,169.61570739746094,48130600,GOOGL
2025-03-03,171.2592638730811,172.69364861452485,165.28267091657344,166.35845947265625,40770500,GOOGL
2025-03-04,165.5914841182232,172.6139690982364,165.15319817693035,170.2532196044922,45388000,GOOGL
2025-03-05,169.85478454890304,173.10206141211768,168.4004735026306,172.34503173828125,30954900,GOOGL
2025-03-06,169.86475071785694,174.1280529574759,169.83486896565157,171.6776580810547,28302000,GOOGL
2025-03-07,170.5918843353401,174.28741777289434,169.60575619699736,173.18174743652344,27385800,GOOGL
2025-03-10,167.7966101322015,167.99607150995365,163.23920372577845,165.41319274902344,43604000,GOOGL
2025-03-11,164.45584068137828,166.29076966008637,160.92558133782,163.58822631835938,39587400,GOOGL
2025-03-12,166.12124110886077,167.17831943801426,163.07963775446962,166.6497802734375,28372400,GOOGL
