date,Open,High,Low,Close,Volume,symbol
2025-07-07,716.5315731843128,725.9176023238477,712.4476967305745,717.2804565429688,9457100,META
2025-07-08,720.4957303517299,721.8337012243448,713.7457849218606,719.5970458984375,7770700,META
2025-07-09,721.6439452565418,736.4319538163115,721.6439452565418,731.6890258789062,11418000,META
2025-07-10,730.4608071076664,734.704479422628,718.5285868802704,726.1572265625,9913600,META
2025-07-11,721.4242720797871,724.0802847988808,708.6433421473682,716.4417114257812,10873900,META
2025-07-14,716.5316151789124,726.9161560719408,715.4831906042045,719.8466796875,8939400,META
2025-07-15,722.82223154618,723.3913292594382,708.7631777682402,709.3323364257812,11529500,META
2025-07-16,712.3079132030501,712.9069955313189,698.2289299901618,701.8634643554688,13067600,META
2025-07-17,703.3412662167694,704.8490277671435,696.0720759709156,700.3656616210938,11803300,META
2025-07-18,701.1445302429636,703.6607977835126,690.6202449112741,703.2314453125,12779800,META
2025-07-21,705.7477111980942,715.9325377312456,704.7092814794039,711.9085083007812,9404400,META
2025-07-22,715.1237435600664,715.5331063393245,700.3657186718685,703.7606811523438,8921100,META
2025-07-23,705.3183514682154,713.5660637312985,703.8804929024444,712.5176391601562,8771600,META
2025-07-24,715.9823677348465,722.5425929354744,712.9369210871259,713.7357177734375,10920800,META
2025-07-25,715.8526352732038,719.5771235060619,710.8401504714777,711.6189575195312,8271700,META
2025-07-28,714.1352096135126,723.6609843506268,711.6189419324959,716.5615844726562,8715700,META
2025-07-29,718.9280482700893,723.3913639831756,698.8679318855118,698.9578247070312,13267000,META
2025-07-30,707.0358168226334,707.4451795959043,690.1709481616012,694.1749877929688,27077300,META
2025-07-31,774.0458414913344,783.5816106103192,764.3702661872821,772.2884521484375,38831100,META
2025-08-01,759.5973820600149,764.8595554226001,744.2003568990668,748.8933715820312,19028700,META
2025-08-04,758.8684286204626,775.6933161141383,757.280769171418,775.2140502929688,15801700,META
2025-08-05,775.2940146810766,781.9640620224704,761.8640271769766,762.3233642578125,11640300,META
2025-08-06,768.853609707056,772.488205034118,759.327834976083,770.8406372070312,9733900,META
2025-08-07,772.3383525306105,773.8461140652291,758.4191051508143,760.6957397460938,9019700,META
2025-08-08,761.6144268371896,768.7538063796192,757.4506521481833,768.1546630859375,7320800,META
2025-08-11,768.9334288760205,772.3084011990011,763.5314498091643,764.7296752929688,7612000,META
2025-08-12,771.849102319645,792.4883102810505,771.2799436630941,788.8237915039062,14563100,META
